density,clauses,success_rate,avg_time
1,10,1.0,0.0218033504486084
2,20,0.52,0.035273866653442384
3,30,0.26,0.04848381996154785
4,40,0.02,0.06052405834197998
5,50,0.02,0.07451236724853516
6,60,0.0,0.08635948657989502
