variables,clauses,success_rate,avg_time
5,10,0.88,0.018361539840698243
10,20,0.48,0.034761152267456054
15,30,0.3,0.0502732515335083
20,40,0.06,0.06495312213897705
25,50,0.02,0.0818296480178833
